@relation SpamClsfyTraining

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
spam,'I am an external auditor for Union Bank of Taiwan. I got your email\r\naddress while searching for trustworthy individual personality that can\r\ncollaborate with me in this matter of crucial mutual benefits.\r\n\r\nIn carrying out our professional etiquette report, we discovered an\r\nabandoned sum of Thirty Six Million United States Dollars ($36USD) in the\r\naccount belonging to one of their late for'
spam,'The Minister has mandated me to transfer the sum of US$88 millions \r\nrecovered from an  over-invoiced contracts involving the Nigerian National \r\nPetroleum Corporation [NNPC] into several  private account in Europe and\r\nUnited States. A total  sum of US$73,700,000.00 has been transferred \r\nbefore the emergence of this present  Civilian\r\nAdministration,leaving the balance of  US$14,300,000.00.\r\n\r\nWhat we require from you by e-mail or fax are viz:\r\n    {i} Acceptance letter of this offer\r\n    {ii} Your company name and confidential telephone and fax numbers\r\n    {iii} Convincing Honesty, Trustworthiness and Willingness to abide by \r\nthe requirements of this proposal paramount of            which is \r\nCONFIDENTIALITY.\r\n\r\nWe have agreed that you will retain 20\% of the entire US$14,300,000.00 for \r\nyour effort  in this transaction, 70\% for us partners here in Nigeria and \r\nthe remaining 10\% will be used for defrayal of incidental cost in the \r\ncourse of this transfer.'
spam,'Presently, the US$100,000,000.00(110 million Euros) One Hundred Million\r\nDollars cash my father transfered to Europe before his death for some\r\npurchases he intended to make is safe and is in a Security firm. I have\r\nthe passcode and the documents to the Security firm. This is where I will\r\nneed your help because at present i cant travel. And I want to act fast\r\nbefore the government finds out about the funds.'
spam,'I am Chief Accountant with the National Oil Nigeria\r\nPLC (N/Oil) and member of 5 MAN Contract Executive\r\nReview Panel (comprising 2 Snr.Staff of CBN and 3\r\nSnr,Staff Of (N/Oil) set up by present Civilian Regime\r\nof President Obasanjo. So far we have come across a\r\nsurplus of the sum of US$27M.(Twenty-seven Million\r\nDollars)which was as a result of deliberate\r\nover-invoicing of certain contracts awarded by\r\nContract Award Committee of the cooperation.\r\n\r\nI decided to contact you base on the fact that I have\r\nno foreign partner to assist me in executing the\r\ntransaction. If you accept to carry out this business\r\nwith me, please note that my colleague and me will be\r\nin your Country to receive the fund together with you,\r\nthe moment we secure all the necessary approvals.\r\n\r\nYou should also note that the transaction would only\r\ntake (14) fourteen working days. \r\n\r\nyou can also reply me to my private email\r\naddress:princemikeokoye57@safe-mail.net\r\n'
'no spam','Okay, sounds good. I get out of class at 2:05 but I have lessons until around 4 so is sometime after 4:00 PM tomorrow okay? If so, I will call you around that time because I will be on campus all day.'
'no spam','Policy Number Ending In: 7356\r\n\r\nDear Gopi Nutakki,\r\n\r\nThank you for insuring with GEICO. While a payment on your policy is not due at this time, your updated billing information is now available.\r\n\r\nVisit our online Policyholder Service Center to review your updated information.\r\n\r\nWhen you visit our Policyholder Service Center, you may also make changes to your policy. You may change your address, add vehicles or drivers, modify your coverage selections, or file and track a claim conveniently in a secure environment. We have made our site as educational as possible so you will have all the information necessary to make the choices that best meet your individual insurance needs.\r\n\r\nThank you for your business. We look forward to serving your insurance needs for years to come.\r\n\r\n\r\n\r\n     Enroll in one of our automatic \r\n     payment plans\r\n\r\n           \r\n\r\nSincerely,\r\n\r\nGEICO Customer Service\r\n\r\nGEICO Gecko image © 1999-2012\r\n\r\nThis email was sent to you at the following email address: gopi.nutakki@gmail.com\r\n\r\nPlease note that you cannot opt-out of email that is required to properly service your policy. To manage your email subscriptions, please click here.\r\n\r\nGovernment Employees Insurance Company\r\n\r\nNeed to mail us a payment?\r\nSend it to: GEICO Remittance Center, One GEICO Plaza, Bethesda, MD 20810-0001\r\n\r\nMessage ID: GE000001\r\n\r\nVersion Number: 280460584'
'no spam','Just a reminder, there will be ACM meeting tonight.\r\nWhere: Snell Hall 2113\r\nWhen: November 22, @5:00pm.\r\n \r\nDr. Lance Hahn, Psychology professor, will give out a presentation. The talk is very interesting. Attached is flier.\r\n \r\nIf you think you might be able to come to the meeting, please visit this http://www.doodle.com/ch2ptxzzdmk9veg5 to register.\r\n \r\nFree pizza, Dairy Queen ice cream cake, and soda!'
'no spam','Thank you for joining Nutrition Center #4 Reward\'s program. This email notice is to confirm the address you gave us for your Reward Account. You will only receive special Email Rewards from us when you Confirm Your Subscription. Please confirm your email address now by clicking the red Confirm button OR cut and paste the following link into your browser.Please confirm your email address now! \r\n\r\nhttp://www.nutritioncenter4.com/cfm.asp?g=d234a43f9cfa452a97ed21076bf35ba6\r\nCONFIRM YOUR REWARD EMAIL SUBSCRIPTION\r\n \r\n\r\nWhen you confirm your Email address, you will be able to receive notice of your Rewards and other special offers sent to this email address. Your privacy is assured; we do not sell, rent, share or give away our Reward member email addresses. You will ONLY receive these exclusive offers after you confirm your subscription. Please confirm your email address now!\r\nCONFIRM YOUR REWARD EMAIL SUBSCRIPTION\r\nAfter you confirm your Email address, you will be able to set up your own private online Account, where you will be able to view your Points and Rewards. When you click the red confirm button, you will be taken to a page on our website that lets you enter your Card number, enter your confirmed email address, and set a password. Just follow the instructions on the web page after you confirm your address. Please confirm your email subscription now!\r\nCONFIRM YOUR REWARD EMAIL SUBSCRIPTION\r\nYou may change the subscriptions in your Account under the Change Email Subscription Preferences. To set up your Account, click the Confirmation below and follow the instructions to set up your Reward Account.\r\nCONFIRM YOUR REWARD EMAIL SUBSCRIPTION\r\n\r\nYou may change your email address or request to be unsubscribed to our Reward Emails by contacting our store at info@nutritioncenter4.com. We promise that we will never sell or give away your email address and other personal information. \r\n\r\nMake sure you receive our email in your Inbox and not your Junk folder. Please add info@nutritioncenter4.com to your safe senders list. '
spam,'It\'s no news telling you that my family has been going\r\nthrough untold hardship since the 18th of June 1998\r\nwhen my husband died. My family has lost so much\r\nincluding some fixed assets my husband acquired while\r\nin power. Eventually, the pages of all Nigeria\r\nDailies, which you can equally get from Nigeria\r\nEmbassy in your Country, will tell better of our\r\nstory.\r\n\r\nBefore the death of my husband, General Sani Abacha,\r\nhe ran among other business of his own a Bureau De\r\nChange\", which was flourishing with every support from\r\nthe Bureau De Change Business, which has now been\r\nclamped down by the Nigerian Government, I was able to\r\nsave US$35.5 Million in cash. I tried to safeguard it\r\nin the Security Company here in Nigeria but failed.\r\nThrough the help of a family who works in the Security\r\nCompany I defaced the US$35.5 Million and moved it out\r\nof Nigeria, under the label photographic material, to\r\na Security Company in Switzerland.\r\n\r\nShould you help me in this regard, you will have 20\%\r\nof the money for yourself and guide me further to\r\ninvest the remaining 80\% in any viable business\r\nventure.\r\n\r\nYour Telephone and fax number will also be needed to\r\nenable my lawyer get back to you with the lodging code\r\nand clearance permit from the security Company.\r\n'
spam,'I am Mr.Emory Barr, Accounts Manager, of Abbey National PLC\r\nBromley Rd Branch. I have an important business proposition for you.\r\n\r\nOn December 12th, 2001, a German contractor with the British Pertroleum co-orporation, United Kingdom ,Mr. Olaf Partetzke made a numbered time (Fixed) Deposit for twelve calendar months, valued at US$ 17,350,000.00 (Seventeen Million Three Hundred Hundred and fifty Thousand Dollars only) in my branch.\r\n\r\nConsequently, my proposal is that I will like you to stand in as the next of kin to Mr. Olaf Partetzke\r\nso that the fruits of this old man\'s labor will not get into the hands of some corrupt government officials.\r\n\r\nThere is no risk at all as all the paperwork for this transaction will be done by the attorney and with my position as the Manager with my bank will guarantees the successful execution of this transaction. If you are interested, please reply immediately to my private email\r\nbox : emory400@xasamail.com\r\n\r\nUpon your response, I shall then provide you with more details and relevant documents that will help you understand the transaction. You should observe utmost confidentiality, and rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country.\r\n\r\nAwaiting your urgent reply.'
'no spam','Posting ID # 2843882794:\r\n\r\n\"HP DV 6915nr (for parts)\" (computers - by owner)\r\nShould now be viewable at the following URL:\r\n\r\nhttp://bgky.craigslist.org/sys/2843882794.html\r\nIndex pages and search results are updated every 15 minutes.\r\n\r\nTo edit or delete, please log in to your account.\r\n\r\nIf you are having trouble finding your ad in the listings:\r\n\r\nhttp://www.craigslist.org/about/help/how_to_find_your_post_in_the_listings\r\nFor other questions or help:\r\n\r\nhttp://www.craigslist.org/about/help/\r\nSafety tips and avoiding scams:\r\n\r\nhttp://www.craigslist.org/about/safety\r\nhttp://www.craigslist.org/about/scams'
'no spam','Turn Your Phone into a Universal Media Hub to Play Your Music, Photos, and Videos, Anytime, Anywhere\r\n\r\n\r\n\r\n\r\n\r\n\r\nBy Alan Henry\r\nYour phone is already the center of your digital life—it keeps your in touch with friends and family, it\'s the camera you keep in your pocket, and it\'s the music and video player you can pull out for entertainment whenever you\'re bored. Let\'s take your phone and all of the media you have on it to the next level. Let\'s turn that phone into a jukebox full of music, movies, and photos that you can play on almost any TV, stereo system, computer, or other device you may come across, whether you\'re moving from the living room to your bedroom or your house to a friend\'s place. The technology is already built into your phone and the gear you have at home; all you need to do is unlock it. Here\'s how.\r\n\r\nNearly every television, router, smartphone, AV receiver, Blu-ray player, and any other electronic appliance in your home with network capability sold in the past few years supports DLNA or UPnP. We\'ll explain those in more detail later, but the important thing is that this technology, which is probably already available on some of your devices, gives you the ability to connect anything on a network with media to anything else on the same network that can play it.\r\n\r\nWe\'ll walk you through how you can use your iOS or Android device as the media source that you always have in your pocket—full of music, movies, web video, photos, and more—and play that media on any device in any room, without cables, syncing, or a computer in the middle. All you need is an app or two and the right gear. Let\'s get started.\r\n\r\nWhat You\'ll Need\r\n\r\nThere are a few prerequisites to make this work.\r\n\r\n An iOS or Android smartphone, full of music, movies, or photos (or even web video and streamimg music)\r\nA home network that your smartphone can connect to via Wi-Fi\r\nA DLNA or UPnP-compatible television, home stereo, Blu-ray player, computer or media center app, Apple TV or set-top box, or any other home electronics appliance that connect to your home network, either wired or via Wi-Fi. Click here to see if your electronics are DLNA compliant, and click here to see if they\'re UPnP compliant.\r\nA DLNA/UPnP-compliant player for your smartphone that can stream your media to your electronics. We chose Twonky for iOS and Android.\r\nBefore you get started, keep in mind that this will only work with devices that are connected to your home network. If your TV isn\'t connected, you\'ll need something connected to your TV that is—for example, a set-top box, HTPC, or even a DLNA-compliant Blu-ray player. Odds are you have at least one appliance connected to your home theater setup or living room TV that\'s compatible.\r\n\r\nWhen I set this up myself, I was dismayed to learn that many of my electronics weren\'t supported. My reciever was too old, my TV wasn\'t connected to my home network, and the Xbox 360 uses a Microsoft-proprietary version of DLNA that doesn\'t play well with others. However, if you have an Apple TV, PlayStation 3, anything running XBMC, a relatively new Blu-Ray player or receiver, or almost any other set-top box or network-connected stereo, you\'re probably already set. Take a look again at the DLNA product search and UPnP product search to see if any of your gear is compatible.\r\n\r\nStep One: Install and Set up Twonky Mobile\r\n\r\nWe chose Twonky Mobile for a couple of reasons. First, it\'s available to iOS and Android users, uses the same interface, and offers the same features to both types of devices. Apple users have the benefit of AirPlay (which we\'ll get to a little later) but using Twonky allows you to leverage apps that aren\'t AirPlay compatible and push to devices that don\'t support AirPlay. Oh, and did we mention Twonky is completely free?\r\n\r\nTo get started, grab Twonky Mobile from the iTunes App Store or the Android App Market. Once installed, fire up the app and let it scan your home network. It\'ll display the name of the network it\'s connected to, and then ask you to select a server. Any open media library will be shown here, including any computers on your network with Windows Media Center running, but go ahead and select your phone (listed as \"TwonkyServer Mobile\") from the list of available media libraries.\r\n\r\nThe app will then ask you to select a \"player,\" or a compatible device it should use to show your photos and videos or play your music. If you don\'t see anything in the list yet, that\'s okay, but if your set-top box, XBMC system, internet-connected TV, or other compatible gear is powered on and connected to your home network, you may already see it.\r\n\r\n\r\n\r\nStep Two: Choose Your Player\r\n\r\nIf the player you want to use isn\'t in the list, it\'s either not powered on, not currently connected, or it\'s not DLNA or UPnP compliant. If you don\'t see your TV in the list, for example, power on your Blu-ray player, receiver, or set-top box and re-scan to see if it shows up and use that instead. When you move to another room, make sure your stereo is connected to your home network and turn it on—if it\'s DLNA compliant, it\'ll show up in the list as well. Go ahead and choose the player you want to use.\r\n\r\nAs you move from room to room, or even go over to a friend\'s house, you\'ll need to re-scan for available devices. It\'s a little annoying, but the only way to make sure they\'re always in the list is to either keep them on all the time, or power them on before you start up Twonky. Once they\'re available to select, playing your media is just a tap away.\r\n\r\nIn my experience, Twonky does a great job of scouring your home network for available players—a job that other tools I tried didn\'t do quite so well at. I was surprised to see my Apple TV in the list on my Android phone, and my XBMC-enabled HTPC in the list just because the system was on and XBMC was currently running.\r\n\r\n\r\n\r\nStep Three: Press Play\r\n\r\nOne of the other reasons we chose Twonky for this is because once you\'ve selected your library and your player, the app then allows you to immediately select what you want to stream from your phone to your player. I sat on the couch in front of my TV and started playing music from my phone on my HTPC without so much as lifting a finger to configure XBMC to allow that to happen. The same was true when I went into the bedroom and turned on my Apple TV—I just told Twonky to select the Apple TV as a player, queued up a couple of songs, and pressed play.\r\n\r\nIf you don\'t want to be confined to the media on your phone, Twonky inserts itself into the iOS and Android \"share\" menus, so if you\'re viewing a photo in your gallery or camera roll, you can \"share\" it with Twonky to display it on the big screen, or if you\'re listening to a podcast you can share it with Twonky to play it on your stereo or through your Blu-ray player to your television.\r\n\r\nI had a good experience with Twonky here, but it\'s definitely not perfect. There were some instances where a video I wanted to play just wouldn\'t work—specifically streaming from my Android phone to my Apple TV,, and there were time when we wanted to play a single video or view a single photo and Twonky started queuing our entire photo or video library. Even so, most of the issues were fixed by choosing media types that would actually play, and by restarting the Twonky app so we could get a fresh start. Since there\'s nothing you can do to troubleshoot the player and you\'re limited to the controls in the Twonky Mobile app on your Android or iOS device, you may feel like you don\'t have enough control over what the app does. Be patient, and don\'t be afraid to just turn it off, turn it back on, and try again.\r\n\r\nAirPlay and Other Options\r\n\r\nIf all of your gadget are somehow connected to Apple devices, you may not even need Twonky. AirPlay offers a seamless, integrated method to stream music, video, and just about anything else from your iPhone, iPod Touch, or iPad to any other iOS device, like an Apple TV or an Apple computer. Going the DLNA route however allows you to stream media from apps that don\'t have AirPlay support to devices that may not be AirPlay compatible. However, if all of your TVs are connected to Apple TVs, and your handhelds are iOS devices, you can accomplish most of this without an additional app. Still, if you\'re stuck with an app that doesn\'t support AirPlay and want to share it, you can try this hack we shared a while ago to at least get the audio going.\r\n\r\nAndroid users on the other hand have a wealth of alternatives, but not all of them are polished. I tried the previously mentioned Skifta, which has a lot more polish (and handled play/pause/queuing songs much more smoothly) and offers some cloud-streaming features that Twonky doesn\'t, but found that Skifta had more difficulty finding compatible devices on my network than Twonky did, and even though Skifta claims some XBox 360 support (and indeed, shows it as a player in the app,) it doesn\'t work at all. Skifta also won\'t support the Apple TV. Still, Skifta worked seamlessly with my Blu-ray player and XBMC devices, and supported more file types than Twonky did, so it\'s a great alternative if Twonky doesn\'t work for you, or you\'re looking for another tool.\r\n\r\nThere are tons of apps in the Android market that allow you to pull media from other sources on your home network to your Android phone instead of push media from your Android phone to another player, but Twonky and Skifta are some of the few that allow you to do both whenever you choose.\r\n\r\nGo Forth and Stream\r\n\r\nThere are dozens of ways to pull media from your media library on your laptop, or your movie collection on your home computer to your Android or iOS device and enjoy it on the go. We\'ve discussed several methods for this in the past. Even so, there\'s something great about being able to go to a friend\'s house, talk about a video you saw or a song you heard, and instead of have everyone crowd around your tiny phone screen, just push the video to their TV, or play the song on their stereo for everyone to hear. There\'s also nothing like being able to walk into my bedroom, turn on my phone, and continue the music I was just listening to in the living room with a couple of taps. The best part of all of this is that the technology is already in your pocket, and probably already in your house—you just have to take advantage of it.'
spam,'The intended business is thus, we had a customer, a \r\nForeigner (a Turkish) resident in Abidjan, and he was a \r\nContractor with one of the Government Paratatales.\r\nHe had in his Account in my branch the sum of US$35 Million \r\n{Thirty five Million U.S. Dollars). Unfortunately, the man \r\ndied four years ago\r\nuntil today non of his next of kin has come Forward to \r\nclaim the money. Having noticed this, I in collaboration \r\nwith two other top Officials of the bank have covered up \r\nthe account all this while. \r\n \r\nFor your assistance we have agreed to give you thirty \r\npercent (30\%) of the total sum at the end of the \r\ntransaction. It is risk free and a big fortune for both of \r\nus. With your maximum co-operation, this transaction is not \r\nexpected to last for more than 10 working days.'
'no spam','Hello Sir,\r\n\r\nI have changed the report as per your suggestions.\r\nI have dropped off the Signature pages with Cindy Johnson at our Office. I explained her everything.\r\n\r\nThere are few normal pages too, for any extra usage.\r\n'
spam,'URGENT ASSISTANCE NEEDED\r\n\r\nWITH ABSOLUTE TRUST IN GOD AND DUE RESPECT TO YOU, I WRITE YOU THIS LETTER\r\nWHICH I BELIEVE YOU WOULD BE OF GREAT ASSISTANCE TO ME AND WOULD KEEP THE\r\nINFORMATION CONFIDENTIAL AND PRIVATE. I AM MICHEAL SANKOH JUNIOR, A SON TO\r\nFODAY SANKOH, THE REBEL LEADER IN SIERRA LEONE WARRING FACTIONS, I AM\r\nABSOLUTELY AGAINST THE UNENDING POLITICAL CRISES IN MY COUNTRY THAT HAS\r\nRESULTED TO MISSIVE DESTRUCTION OF HUMAN LIVES AND PROPERTY WHICH IS\r\nCURRENTLY IN THE WORLD NEWS. ON THIS LAST ASSAULT BY THE FORCES. I ESCAPED\r\nTO THE NETHERLAND THROUGH THE HELP OF UNITED NATIONS SOLDIERS WHO ARE\r\nTHERE ON A PEACE MISSION. ON ARRIVAL IN AMSTERDAM, I WENT DIRECTLY TO THE\r\nASSYLUM CAMP, TO SEEK FOR POLITICAL ASSYLUM, I WAS ACCEPTED, BEFORE THE\r\nWAR MY FATHER DEPOSITED THE TOTAL SUM $15.5 MILLION USD IN A REPUTABLE\r\nSECURITY COMPANY IN AMSTERDAM, AS FAMILY VALUABLES. TAKE NOTE THAT THE\r\nFUNDS WERE DEPOSITED AS FAMILY VALUABLES FOR SAFE KEEPING IN MY NAME AS\r\nTHE NEXT OF KIN.\r\n\r\n3) MAKE A GOOD ARRANGEMENT FOR INVESTMENT AND DO INVEST THE MONEY FOR ME.\r\nI AM WILLING TO GIVE YOU SOME PERCENTAGE FOR YOUR ASSISTANCE ON THIS, I\r\nOFFER YOU 15\%. 5\% WOULD BE USED TO OFFSET EVERY EXPENSES TO BE INCURRED\r\nAND TAXES OR CHARGES TO BE PAID IN THE COURSE OF THIS TRANSACTION WHILE\r\n80\% WOULD BE INVESTED AND YOU GET YOUR WAGE MONTHLY FOR MANAGING THE 80\%.\r\nI ASSURE YOU THAT THE TRANSACTION IS RISK FREE AND COULD BE COMPLETED\r\nWITHIN THE NEXT SEVEN DAYS IF YOU GIVE ME YOUR TOTAL AND ABSOLUTE\r\nCOOPERATION/ASSISTANCE.  PLEASE FORWARD YOUR REPLY THROUGH MY PRIVATE\r\nEMAIL ADDRESS AND ENDEAVOUR TO FURNISH ME WITH YOUR COMPREHENSIVE AND\r\nCONFIDENTIAL TELEPHONE AND FAX NUMBERS FOR EASIER AND FASTER COMMUNICATION\r\nAND REMEMBER CONFIDENTIAL, TRUST AND ABSOLUTE COOPERATION IS NEEDED FOR\r\nTHE SMOOTH AND IMMEDIATE CONCLUSION OF THIS MUTUAL BENEFICIAL TRANSACTION,\r\nSINCE I AM STILL WITH THE NETHERLANDS GOVERNMENT. AWAITING YOUR PROMPT\r\nRESPONSE, THANKS AND STAY BLESSED.'
spam,'I have come to inherit the sum of $28.000.000.00\r\n(Twenty Eight Million US Dollars) left for me by my\r\nfather who until his death was the chairman of Revenue\r\nGeneration and Distribution of Diamond sector before\r\nthe civil war. He died in a motor accident while\r\nreturning from Freetown our capital city after an\r\nofficial conference meeting, may his soul rest in\r\npeace.\r\n\r\nI am therefore soliciting for your assistance but with\r\nthe following conditions:\r\n\r\n1) That this transaction shall be treated with utmost\r\nconfidence, co-operation and absolute secrecy.\r\n\r\n2) That the money will be transferred to an account\r\nwhere much tax shall not take so much of it.\r\n\r\n3) I have decided to give you 20\% of the total money\r\ntowards your successful assistance to this business,\r\nhaving set aside 5\% to cover all local and\r\nInternational expenses as may arise from this transfer\r\nactivity for which all the parties involved will\r\nhave to contribute to, while the balance of 75\% will\r\nbe credited to my account.\r\n\r\n4) An agreement of acceptance shall be written, signed\r\nand stamped by you on your letter headed paper and\r\nsend to me to be filled with my lawyer in which you\r\nwill state that 75\% of the Twenty Eight Million U.S\r\ndollars must be released to me by you through your\r\nbank account immediately after the transfer.\r\n\r\nIf you are interested in the proposal and decides to\r\nassist me kindly contact me urgently on this,\r\nemail:johnson_mark2000.co.uk'
'no spam','Dear CARFAX Customer, \r\n\r\nThe CARFAX Vehicle History Report you ran on the 1999 TOYOTA CAMRY below qualifies for the CARFAX Buyback Guarantee. To run additional vehicle history reports visit the CARFAX website.\r\n\r\nTo view the CARFAX Vehicle History Report, please click the link below: \r\n1999 TOYOTA CAMRY (4T1BG22K3X4480810) \r\n* This link will expire on 08/16/2011\r\n\r\nIf you have purchased this vehicle, make sure you are protected by registering for the Free CARFAX Buyback Guarantee. The CARFAX Buyback Guarantee protects you from unknowingly buying a used car with DMV-reported title problems (salvage, fire, flood damage, odometer problems or lemon history). Click here to review the Buyback Guarantee Terms and Conditions.\r\n\r\nIf you plan to register this vehicle for the Buyback Guarantee, please don\'t forget to print out and save the current copy of the CARFAX Vehicle History Report. A copy of the current report is required for submission of a Buyback Guarantee claim.\r\n\r\nThank you for using CARFAX! '
'no spam','gopi,\r\n\r\nWill you be free on Monday from 1:40 to 2:45? That\'s the only time that\r\nI\'ll have a break on Monday since 10:30 am till 9:00 pm and I\'ll be at\r\nTCCW during the break if you are coming. Shall I bring my laptop with me\r\non Monday?\r\n'
spam,'Due to the nature of accrual of this funds, it has to\r\nbe applied for by a foreign contractor/company and\r\npayment can only be made into a foreign account hence\r\nthis contact is necessary to accomplish this deal.You\r\n(or your company) shall be compensated with 25\% of the\r\namount as the account owner, 5\%  shall be used for the\r\nreimbursement of all expenses that will be incurred by\r\nboth parties during the course of this financial\r\ntransaction.The remaining 70\% is for us.\r\n\r\nWe shall require of you the following urgently by fax:\r\n1.\tName,Telephone and/or fax Numbers of Beneficiary\r\n2.\tName and full address of the Company\r\n3.\tComplete particulars of the bank account where you\r\nwish the funds to be transferred.\r\n\tThis should include the account Number,  Bank\r\nAddress, the Telephone, Fax and Telex numbers of the\r\nbank.\r\n'
spam,'My father the late president\r\nMobutu Sese Seko made the sum of $18,000,000 USD in\r\ncash, he tactically defaced this money and stashed\r\nthem in a security trunk box in order to enable him\r\nmove the money out of Zairien shores just as the rebel\r\nforces close by. I intend to invest this money on any\r\nprofitable business venture. I have met with and held\r\ndiscussion with the security company showed them the\r\ndepositional documents which my father left behind of\r\nwhich my name appeared as the next of kin,the company\r\nawaits my coming for the withdrawal and iam afraid of\r\ndisclosing the contents to them since my father\r\nstrictly warned me against that.\r\n\r\nIf all goes well 20\% of the total amount will be for\r\nyou. For the confirmation of your willingness to\r\nassist me.'
'no spam','Hello,\r\n\r\nPlease find the attached Copyright form for my admitted poster/paper.\r\n\r\nMy details:\r\n\r\n1st Autor name: GOPI CHAND NUTAKKI\r\nName of the paper: Appearance Based Disease Recognition of Human Brains\r\n\r\nPlease let me know if I am missing anything else.'
'no spam','Hi Gopi!\r\n \r\nSince it is clear you do not have any time for the SSLab product, it would seem to make sense for you to jump ahead into fixing up all the WKU robots that need attention in the AI Lab, as well as at the Business Accelerator.\r\n \r\nI am sending you and Doug a message, copying Dr. Shindhelm, Joe Monti, and Justin, to do what I can to help move that process forward.  Your suggestions and thoughts on doing that would be most helpful, if the process I will describe in that message does not work for you.\r\n \r\nPlease let me know.\r\n \r\nMy other message will come in a few moments.\r\n \r\nThanks.\r\n \r\nYours,\r\nJoe'
'no spam','LinuxBasics Course\r\n\r\nAn Introduction to Linux Basics\r\n\r\nLinuxBasic.org offers our second free Linux class, An Introduction to\r\nLinux Basics.\r\n\r\nLinux can certainly be used as a Desktop without much understanding of\r\nhow it works. This course is designed to give a foundation of\r\nunderstanding of Linux to a beginner who wants to know a little more\r\nabout the system. More advanced Linux users will find an opportunity\r\nto dig deeper into some areas they always wanted to know more about or\r\ndiscover gaps in their knowledge that they didn\'t know existed.\r\n\r\nWe will use LBook, our own edited version of \"Introduction to Linux: A\r\nHands on Guide\" by Machtelt Garrels, as a study guide. We are excited\r\nabout using this guide which is under the GNU Free Documentation\r\nLicense–meaning we can revise it. As we study this guide, we will\r\nupdate it together. We also intend to make an Answer Key for the\r\nexercises in the guide.\r\n\r\nOur heartfelt thanks go to Machtelt Garrels for creating the original\r\nguide and also to you who will join us in studying and revising it for\r\nthe LinuxBasics.org community.\r\n\r\nWhen, Where, How, and How Long\r\n\r\nThe class is set to begin on October 19, 2006. There 11 chapters and\r\nan Intro in the guide. We will spend more than a week on most chapters\r\nand anticipate the class running for about 6 months. A Schedule will\r\nbe posted.\r\n\r\nClass members will read the section for the week and do the exercises\r\nat the end of the chapters. Relevant questions and comments may then\r\nbe discussed on the mailing list; so you will need to join that in\r\norder to participate. See Mailing List page for information.\r\n\r\nWe encourage you to introduce yourself on the list at the beginning of\r\nthe class. If you don\'t begin until after October 19, join the list,\r\nintroduce yourself and start with the first week\'s section. There is\r\nno rush to catch up to where others may be. You are free to discuss\r\nwherever you are in the guide or other Linux-related matters on the\r\nlist.\r\n\r\nHow much does it cost? Basic requirements\r\n\r\nThis course is free (as in free beer). However, a goodwill\r\ncontribution in the form of active participation, revisions,\r\nsuggestions or ideas would be appreciated.\r\n\r\nBasic requirements are a desire to learn, to do reasonable footwork\r\n(reading the material, googling the topics at times, gathering\r\ninformation on your own system), to respect fellow learners, and to\r\nfollow netetiquette. This course being more specifically targeted to\r\nbeginners, there aren\'t really that many requirements. However, keep\r\nin mind that questions will range from very basic to more advanced.\r\nBeginners will have to be bold and ask the questions they have at\r\ntheir level (there are no stupid questions) and not be intimidated by\r\nmore advanced questions from more advanced users who are learning too.\r\nMore advanced users will have to \"remember when\", as they once were\r\nintroduced themselves to Linux, and hopefully contribute answers to\r\nbasic questions as well as more advanced ones.\r\n\r\n«You do not need to be a computer-wiz or a unix-guru to answer\r\nquestions on the list. Sometimes it is enough to be just 5 minutes\r\nahead of others to help them out.» (Quote from LBo -\r\nhttp://www.linuxbasics.org/mailinglist/start)\r\n\r\nRevising the Guide\r\n\r\nLBook along with all of LinuxBasics.org is on a wiki. If you wish to\r\nrevise something, you may first need to check out You Can Help in the\r\nHelp Section. You may also contribute by giving your suggestions and\r\nideas to us on the mailing list or send them to\r\nTheCrew@LinuxBasics.org.'
