@relation SpamClsfyTesting

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
'no spam','Hi!!\r\n     Find the attached Doc. of Java Interview Questions and Ensure that\r\nall  students make a hard copy of these documents.'
spam,'Presently, the US$100,000,000.00(110 million Euros) One Hundred Million\r\nDollars cash my father transfered to Europe before his death for some\r\npurchases he intended to make is safe and is in a Security firm. I have\r\nthe passcode and the documents to the Security firm. This is where I will\r\nneed your help because at present i cant travel. And I want to act fast\r\nbefore the government finds out about the funds.'
'no spam','Okay, sounds good. I get out of class at 2:05 but I have lessons until around 4 so is sometime after 4:00 PM tomorrow okay? If so, I will call you around that time because I will be on campus all day.'
spam,'The Minister has mandated me to transfer the sum of US$88 millions \r\nrecovered from an  over-invoiced contracts involving the Nigerian National \r\nPetroleum Corporation [NNPC] into several  private account in Europe and\r\nUnited States. A total  sum of US$73,700,000.00 has been transferred \r\nbefore the emergence of this present  Civilian\r\nAdministration,leaving the balance of  US$14,300,000.00.\r\n\r\nWhat we require from you by e-mail or fax are viz:\r\n    {i} Acceptance letter of this offer\r\n    {ii} Your company name and confidential telephone and fax numbers\r\n    {iii} Convincing Honesty, Trustworthiness and Willingness to abide by \r\nthe requirements of this proposal paramount of            which is \r\nCONFIDENTIALITY.\r\n\r\nWe have agreed that you will retain 20\% of the entire US$14,300,000.00 for \r\nyour effort  in this transaction, 70\% for us partners here in Nigeria and \r\nthe remaining 10\% will be used for defrayal of incidental cost in the \r\ncourse of this transfer.'
'no spam','Hey,\r\n\r\nI believe I wrote most of the program, but I couldnt test it as the systems have the firewall enabled, I cant disable them.\r\nThe attached zip file contains an eclipse project(can be directly imported into netbeans).\r\n\r\nThe host names in the a.dat files should be real names of the computers.\r\nI am not sure whether I would be able to work on the tonight or tomorrow. Show it someone and ask them to execute and may be rewrite the parts thats not working.'
spam,'I have two options for you.Firstly you can choose to have certain\r\npercentage of the money for nominating your account for this transaction.\r\nOr you can go into partnership with me for the proper profitable\r\ninvestment of the money in your country.Whichever the option you want,feel\r\nfree to notify me.I have also mapped out 5\% of this money for all kinds of\r\nexpenses incurred in the process of this transaction.If you do not prefer\r\na partnership I am willing to give you 10\% of the money while the\r\nremaining 85\% will be for my investment in your country.Contact me with\r\nthis E-mail address (maimo2@lycos.com)while I implore you to maintain the\r\nabsolute secrecy required in this transaction.'
'no spam','Your Yahoo! ID is: y3it221_klce\r\nThe password for your Yahoo! ID was recently changed. You don\'t need to do anything, this message is simply a notification to protect the security of your account. Your new password may take a few moments to become active. If it doesn\'t work on your first try, please try it again later.\r\n\r\n- Didn\'t change your password?\r\n1. Someone changed your password on March 15, 2012 at 06:42pm IST. Please sign in to your Yahoo! account to confirm you still have access after the change.\r\n\r\n2. Reset your password (https://edit.yahoo.com/forgot?intl=us&partner=) from any sign-in screen by clicking the forgotten password link.\r\n\r\n3. Visit the Yahoo! Security Center (http://security.yahoo.com) to learn how to protect yourself from phishing attacks.'
spam,'Thank God, two weeks ago, I received Key Text Code\r\nfrom a Security Company abroad, that my late husband deposited U.S\r\n$45.5 Million cash with this company. It has therefore, become very\r\nnecessary and urgent to contact someone, a foreigner like you to\r\nhelp me receive/secure these funds overseas in a reliable bank Account\r\n(presumably an empty Bank Account, if available) and to help invest\r\nit on our behalf as well, while we find a way of getting out to meet\r\nwith you in your country.\r\n'
spam,'I was a Personal Assistant to\r\nthe Late Congo President, LURENT KABILA, who was\r\nassasinated in February and my aim of writing to you\r\nis because of the need for a trusted and honest\r\nperson, who I can entrust the sum of US$62,800,000\r\n(Sixty two million, eight hundred thousand\r\nUSDollars).\r\n Source of the money: I and the late president secured\r\nthis money in a security firm in Ghana, in my name\r\n before his death.  Now that he is late, I want to\r\n transfer the money out of Africa, for investment in\r\nyour\r\n country, I can not travel out of Nigeria where I am\r\non\r\nasylum, hence I am asking for your assistance to have\r\nthis money in your care pending when I will secure\r\ntravel documents to come over to your country.If you\r\naccept this offer we shall share the money as follows:\r\nfor you,\r\n25\%, 75\% for me.'
'no spam','Hello,\r\n\r\nPlease find the attached Copyright form for my admitted poster/paper.\r\n\r\nMy details:\r\n\r\n1st Autor name: GOPI CHAND NUTAKKI\r\nName of the paper: Appearance Based Disease Recognition of Human Brains\r\n\r\nPlease let me know if I am missing anything else.'
'no spam','Posting ID # 2843882794:\r\n\r\n\"HP DV 6915nr (for parts)\" (computers - by owner)\r\nShould now be viewable at the following URL:\r\n\r\nhttp://bgky.craigslist.org/sys/2843882794.html\r\nIndex pages and search results are updated every 15 minutes.\r\n\r\nTo edit or delete, please log in to your account.\r\n\r\nIf you are having trouble finding your ad in the listings:\r\n\r\nhttp://www.craigslist.org/about/help/how_to_find_your_post_in_the_listings\r\nFor other questions or help:\r\n\r\nhttp://www.craigslist.org/about/help/\r\nSafety tips and avoiding scams:\r\n\r\nhttp://www.craigslist.org/about/safety\r\nhttp://www.craigslist.org/about/scams'
spam,'Due to the nature of accrual of this funds, it has to\r\nbe applied for by a foreign contractor/company and\r\npayment can only be made into a foreign account hence\r\nthis contact is necessary to accomplish this deal.You\r\n(or your company) shall be compensated with 25\% of the\r\namount as the account owner, 5\%  shall be used for the\r\nreimbursement of all expenses that will be incurred by\r\nboth parties during the course of this financial\r\ntransaction.The remaining 70\% is for us.\r\n\r\nWe shall require of you the following urgently by fax:\r\n1.\tName,Telephone and/or fax Numbers of Beneficiary\r\n2.\tName and full address of the Company\r\n3.\tComplete particulars of the bank account where you\r\nwish the funds to be transferred.\r\n\tThis should include the account Number,  Bank\r\nAddress, the Telephone, Fax and Telex numbers of the\r\nbank.\r\n'
spam,'The intended business is thus, we had a customer, a \r\nForeigner (a Turkish) resident in Abidjan, and he was a \r\nContractor with one of the Government Paratatales.\r\nHe had in his Account in my branch the sum of US$35 Million \r\n{Thirty five Million U.S. Dollars). Unfortunately, the man \r\ndied four years ago\r\nuntil today non of his next of kin has come Forward to \r\nclaim the money. Having noticed this, I in collaboration \r\nwith two other top Officials of the bank have covered up \r\nthe account all this while. \r\n \r\nFor your assistance we have agreed to give you thirty \r\npercent (30\%) of the total sum at the end of the \r\ntransaction. It is risk free and a big fortune for both of \r\nus. With your maximum co-operation, this transaction is not \r\nexpected to last for more than 10 working days.'
